,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31,Item_32,Item_33,Item_34,Item_35,Item_36,Item_37,Item_38,Item_39,Item_40,Item_41,Item_42,Item_43,Item_44,Item_45,Item_46,Item_47,Item_48,Item_49,Item_50
User_25,3,3,5,5,2,4,5,3,5,5,5,3,3,2,5,4,3,4,1,0,0,1,0,3,5,2,0,1,2,1,3,1,5,3,0,2,4,5,2,4,0,1,5,5,3,3,3,0,0,5
User_26,5,4,4,3,5,2,2,5,5,5,0,4,3,3,5,0,0,4,5,4,5,5,5,2,4,4,1,5,0,4,1,4,0,2,5,5,3,0,0,1,1,1,2,1,0,1,4,4,3,4
User_27,5,5,4,5,5,5,5,5,5,2,1,3,5,3,3,1,5,3,3,4,0,5,2,2,5,1,5,5,2,0,2,0,0,4,2,3,5,1,3,2,2,3,4,2,4,5,5,1,2,3
User_28,5,3,2,3,5,4,4,2,5,4,2,4,1,5,3,1,4,5,1,2,5,5,4,2,2,2,5,1,3,0,3,0,4,3,5,0,2,4,3,1,4,2,2,5,2,0,3,4,3,5
User_29,5,2,2,4,5,5,2,5,4,5,0,0,4,4,0,4,4,2,0,4,2,0,0,0,4,4,3,2,3,5,2,1,3,5,0,5,1,1,1,2,4,4,1,4,5,0,4,2,1,3
User_30,2,5,3,5,3,5,3,3,3,5,5,4,2,3,0,3,3,2,5,4,0,0,2,1,3,3,0,3,0,4,4,0,2,3,5,5,0,2,5,5,4,3,3,4,1,0,2,2,5,5
User_31,3,4,4,5,2,5,5,5,5,3,0,1,0,0,0,2,5,3,2,5,2,3,1,5,0,1,1,5,4,5,2,0,3,1,4,4,1,5,5,5,1,5,4,2,5,4,4,4,2,2
User_32,5,4,5,5,5,5,2,2,5,2,1,0,5,1,4,0,2,5,3,1,5,4,0,3,2,4,5,2,0,1,4,0,0,1,1,0,1,4,1,4,0,3,0,5,0,0,4,3,1,2
User_33,5,2,5,2,4,3,5,5,2,4,5,5,0,2,1,2,0,4,5,1,2,4,3,3,2,1,0,3,4,4,4,3,2,5,3,1,1,2,4,3,2,5,0,1,0,0,5,3,5,2
User_34,2,2,5,5,2,5,2,3,4,5,5,4,5,2,1,3,3,3,4,5,2,1,5,0,0,0,2,3,1,5,4,5,3,4,3,0,3,0,0,1,1,5,4,4,2,2,4,1,0,2
User_35,3,2,5,4,3,5,3,5,4,2,2,3,5,4,3,2,2,1,1,3,5,1,1,3,1,3,0,3,1,5,4,4,3,5,4,5,4,1,0,0,1,5,0,3,0,4,1,2,4,4
User_36,5,4,5,3,4,5,3,2,5,2,1,3,5,4,4,2,5,0,5,1,1,1,1,3,5,1,3,5,3,2,2,0,1,3,2,1,2,2,0,3,3,5,5,2,1,5,3,5,0,3
User_37,2,3,5,4,3,5,5,3,2,3,2,3,0,5,0,1,1,5,1,4,2,1,4,0,2,4,0,3,3,2,4,4,0,3,3,1,5,5,5,4,5,2,3,2,5,2,1,3,2,3
User_38,3,5,2,2,2,4,4,4,5,5,3,0,4,1,4,1,2,0,2,3,5,2,2,4,1,0,2,2,1,3,3,4,1,2,3,3,0,0,5,4,3,3,1,0,0,3,4,3,2,0
User_39,2,3,5,3,2,5,5,5,5,5,4,2,3,1,3,3,2,3,1,1,5,1,5,0,3,3,4,2,0,5,3,1,0,0,5,1,4,5,3,2,4,2,5,2,3,0,1,2,4,3
User_40,5,5,5,4,4,4,5,4,5,5,4,1,0,0,1,4,5,0,1,5,2,1,0,4,4,4,0,2,4,5,3,2,5,1,3,2,0,3,2,2,5,2,2,4,3,5,2,1,2,5
User_41,5,5,5,4,4,3,5,5,5,2,3,3,1,5,1,5,4,1,3,3,3,1,2,5,0,4,2,0,1,5,4,4,1,5,2,0,3,5,3,5,0,3,2,5,1,5,3,1,5,3
User_42,5,5,5,5,2,5,5,5,5,5,3,2,0,1,5,1,4,5,0,0,1,4,2,0,5,1,2,2,2,5,3,2,2,5,1,4,3,1,5,1,2,3,4,4,1,3,1,5,1,4
User_43,5,3,5,5,5,4,4,2,5,2,1,1,1,1,4,0,1,2,4,0,5,4,3,1,2,5,0,4,0,3,2,5,4,5,3,2,1,0,3,5,5,0,0,3,3,4,2,5,1,2
User_44,5,5,3,3,5,4,5,2,5,5,4,4,3,5,0,1,5,3,2,2,3,4,3,5,0,5,1,1,1,5,1,4,5,5,2,2,3,1,2,0,3,4,2,1,4,0,0,0,4,5
User_45,4,4,5,5,3,5,5,4,5,5,1,2,3,1,0,0,3,0,3,1,2,1,3,4,4,5,5,5,3,0,3,5,2,1,3,5,2,4,3,0,5,3,5,4,5,5,2,3,3,5
User_46,2,5,3,5,4,3,2,4,2,5,3,3,4,4,4,1,4,5,5,3,3,0,2,2,1,2,1,0,3,3,1,4,0,5,3,3,0,5,5,1,4,1,0,2,1,2,0,5,2,3
User_47,4,5,5,2,5,5,5,4,5,2,1,3,1,0,1,3,4,0,4,4,4,3,5,2,4,2,0,1,4,5,2,0,3,5,5,0,3,1,1,5,2,3,3,5,1,5,5,0,0,2
User_48,3,3,5,5,4,3,5,5,5,5,1,0,2,3,5,0,2,3,3,5,5,1,4,5,0,5,4,1,1,0,3,2,3,4,5,0,1,5,3,0,2,5,1,3,1,4,2,5,2,2
User_49,5,5,5,5,5,5,5,2,5,4,3,3,2,2,0,4,1,5,0,1,0,4,4,1,3,5,3,3,1,3,2,2,4,1,3,2,3,5,0,3,4,0,1,3,3,0,4,4,4,5
User_50,3,2,4,3,5,5,5,5,5,3,0,4,2,3,0,0,5,0,5,5,5,3,2,4,3,3,2,0,4,1,0,5,0,2,1,4,4,4,2,5,1,1,0,5,3,1,4,4,3,3
User_51,0,0,2,5,4,2,4,2,0,1,5,3,4,5,0,0,0,2,5,3,0,2,0,2,5,1,2,4,3,2,3,2,3,5,1,4,4,4,2,4,0,0,4,5,4,2,4,3,5,1
User_52,2,2,0,2,2,1,5,3,1,5,5,5,3,0,5,1,1,1,4,4,5,1,2,0,2,0,5,0,4,0,1,1,5,5,0,4,2,4,4,2,1,5,3,4,1,0,4,4,0,3
User_53,3,2,5,0,1,1,3,2,5,2,1,5,5,2,5,3,3,2,3,5,3,2,3,0,3,4,1,0,2,1,4,1,3,1,2,3,3,4,5,1,5,4,3,3,4,3,5,5,1,0
User_54,5,4,2,0,2,3,0,3,3,5,4,2,5,1,4,4,2,4,2,4,0,2,1,5,4,5,0,5,1,4,4,5,5,5,3,4,1,1,0,3,0,0,4,0,2,3,4,2,1,3
User_55,1,5,1,4,2,3,4,0,3,4,3,3,4,1,1,4,3,1,2,0,0,2,2,2,3,1,2,4,5,0,0,2,1,2,4,2,3,2,3,1,5,1,4,1,3,1,3,4,3,2
User_56,1,0,2,5,3,5,5,5,2,2,2,2,3,1,1,2,0,1,3,3,1,3,3,4,3,1,1,5,5,0,2,1,3,5,5,0,4,5,0,3,1,0,3,4,5,0,3,2,1,3
User_57,2,1,5,1,1,2,0,5,2,2,3,3,4,2,2,4,2,2,4,4,4,1,3,4,1,5,3,4,5,2,2,3,0,3,1,2,5,5,2,4,1,0,1,1,1,1,0,1,0,3
User_58,5,1,4,0,5,5,0,5,1,4,5,5,4,1,4,0,5,1,1,1,3,1,2,2,0,3,3,4,1,2,3,2,2,1,2,0,0,3,3,4,2,3,1,3,0,2,0,3,3,0
User_59,5,4,4,3,4,0,2,3,1,5,4,4,1,5,1,5,0,5,0,4,5,2,0,5,0,3,5,3,0,2,4,1,5,0,2,2,2,0,0,5,5,2,2,5,0,4,0,3,2,4
User_60,1,0,2,0,1,0,4,1,3,3,2,3,0,4,3,2,0,2,2,4,5,4,2,2,3,3,1,5,4,5,3,2,3,1,3,2,3,3,4,4,1,1,3,4,4,3,5,4,0,2
User_61,5,0,0,0,4,3,5,5,5,1,2,2,0,1,3,1,1,2,4,0,4,5,2,1,0,3,3,1,4,4,0,5,2,4,3,3,3,5,4,1,4,4,0,2,5,4,4,2,3,5
User_62,2,4,1,0,0,2,2,3,0,2,5,4,4,1,5,1,5,2,3,3,3,5,3,0,5,5,3,1,5,1,5,0,2,4,1,1,5,0,1,4,0,3,3,3,4,2,1,4,2,0
User_63,4,0,2,4,1,2,1,0,1,4,4,3,5,1,3,2,0,2,5,0,5,1,4,1,0,3,0,3,2,4,2,1,5,3,3,2,4,4,2,4,1,5,0,3,5,3,3,0,1,2
User_64,4,4,0,3,4,2,4,3,5,2,3,3,0,3,2,0,0,2,0,2,4,0,4,0,3,5,2,3,4,2,2,5,4,2,2,0,1,3,1,2,5,5,1,5,5,0,4,4,1,0
User_65,5,5,4,1,1,3,0,3,1,3,5,3,1,4,2,4,5,0,4,5,1,3,0,0,0,3,5,4,3,5,2,0,1,3,0,3,5,3,4,3,5,1,2,2,3,3,3,2,5,5
User_66,3,5,4,3,1,1,2,1,2,5,1,2,0,1,5,3,2,2,4,0,0,5,5,3,2,0,0,4,5,3,5,3,0,1,4,1,4,1,3,5,5,5,2,3,0,1,5,0,3,5
User_67,1,4,2,5,3,3,2,3,1,1,3,1,3,5,3,4,2,1,2,5,4,0,3,1,0,0,1,5,0,5,5,3,5,5,3,5,3,4,0,3,4,3,3,1,3,3,3,3,3,2
User_68,2,4,5,4,4,2,5,4,1,0,1,0,5,0,3,4,0,3,1,3,0,3,3,1,1,5,0,5,5,3,2,3,0,2,5,3,1,0,3,1,0,2,2,0,5,1,2,5,0,3
User_69,0,0,0,1,4,5,3,1,0,3,1,2,3,5,4,4,3,3,5,0,0,5,0,3,4,2,4,0,1,4,0,5,3,5,2,1,4,0,4,2,1,4,2,1,4,0,2,0,2,0
User_70,5,0,5,4,4,0,2,4,4,0,2,0,3,0,2,4,4,1,0,4,3,4,5,5,3,4,4,2,4,3,2,4,2,5,5,4,1,5,2,3,1,4,4,1,0,1,3,4,2,5
User_71,0,2,1,4,3,1,1,2,2,4,2,0,4,3,0,1,5,2,3,4,2,0,1,1,2,4,4,2,5,2,2,5,3,2,3,0,2,2,4,2,5,3,5,3,2,3,2,5,0,3
User_72,3,3,3,2,2,0,2,5,3,0,1,5,4,0,4,3,1,4,5,0,2,5,4,2,4,3,2,1,5,0,1,4,4,1,4,3,0,5,3,2,0,0,4,5,2,5,1,5,2,1
User_73,5,5,2,2,1,3,4,5,4,4,1,5,5,4,5,5,0,2,1,1,0,2,4,1,1,1,1,1,1,0,1,3,2,2,5,4,5,1,5,1,0,3,2,2,4,1,0,4,4,4
User_74,0,0,1,0,4,1,4,4,2,0,5,2,2,5,4,5,0,4,3,4,4,0,4,5,4,2,5,5,4,0,2,5,1,5,1,4,2,3,5,1,5,2,5,1,5,2,4,2,2,0
User_75,4,5,3,5,5,1,2,2,4,0,5,1,3,2,0,1,1,3,4,5,1,1,5,3,5,2,4,3,2,3,5,5,3,5,3,0,5,3,5,2,2,1,5,0,2,0,1,0,2,4
User_76,0,5,0,4,3,4,3,4,0,3,3,4,0,0,0,3,3,5,5,3,0,1,1,3,3,0,0,1,1,4,0,2,4,0,2,2,3,3,2,2,5,4,2,3,3,3,1,4,4,4
User_77,5,1,4,1,1,2,1,0,0,5,5,4,0,5,5,2,0,1,5,5,0,3,5,2,4,3,2,2,2,0,0,3,3,1,1,1,2,4,1,3,4,1,0,5,1,1,2,2,1,2
User_78,0,4,4,2,1,0,0,3,2,3,2,3,5,1,2,4,2,4,3,3,1,4,1,0,4,2,4,3,5,5,1,0,1,0,5,3,5,5,1,2,2,1,5,5,1,0,1,5,5,0
User_79,1,5,1,4,0,3,2,0,1,5,2,1,3,0,5,5,0,1,1,0,1,0,4,3,5,0,5,3,3,4,0,1,1,0,0,3,3,5,2,3,0,2,3,1,3,3,3,3,4,0
User_80,2,0,3,1,2,5,0,5,1,3,1,0,2,0,1,1,0,5,5,0,0,1,4,0,3,1,4,2,4,2,4,1,3,1,4,4,2,0,1,2,4,4,0,1,4,3,0,0,2,2
User_81,2,4,5,0,1,3,4,4,1,4,1,5,1,0,4,4,3,1,3,5,3,5,3,2,0,1,4,2,2,2,4,2,2,4,0,5,2,1,0,4,0,0,3,4,0,4,5,2,4,0
User_82,4,3,5,3,3,5,5,5,4,0,2,1,2,5,3,5,0,5,5,4,4,0,0,5,3,3,0,3,5,1,5,4,3,3,3,0,5,5,1,5,3,1,1,0,3,1,3,3,5,2
User_83,4,3,5,0,5,4,0,0,0,2,4,0,5,5,2,4,5,0,0,3,4,5,1,0,0,0,3,5,3,3,4,2,4,2,1,4,5,5,5,5,0,1,0,2,3,2,4,5,1,5
User_84,1,1,2,4,3,1,3,1,1,2,0,1,0,2,1,5,4,1,1,4,4,1,3,2,5,3,5,1,5,0,4,5,5,4,0,2,5,2,1,1,4,0,0,3,2,5,2,1,1,2
User_85,3,1,1,5,3,5,5,4,2,0,0,0,0,0,4,2,1,0,3,0,4,2,3,0,4,0,0,3,4,2,4,2,2,2,2,4,3,2,1,2,1,0,2,1,2,4,3,0,3,3
User_86,4,5,1,0,3,2,5,1,0,3,5,3,1,2,3,4,4,5,1,0,1,5,1,0,0,0,2,3,1,4,0,0,0,3,4,5,5,1,3,2,5,5,4,4,2,1,4,0,1,5
User_87,5,3,2,0,0,0,3,0,4,0,1,4,0,5,3,0,3,4,4,4,4,3,1,3,3,0,0,3,2,1,4,4,4,0,0,1,5,1,3,0,4,3,2,2,5,1,0,0,2,1
User_88,1,0,5,0,2,5,4,1,0,5,5,1,5,4,2,4,2,1,3,1,3,5,1,5,4,2,1,5,0,2,4,1,5,2,0,2,1,0,1,3,2,5,0,1,3,1,1,2,2,3
User_89,5,2,0,5,3,2,5,4,0,1,0,0,5,0,4,0,4,4,2,4,4,5,5,3,4,5,0,1,4,4,2,5,2,0,3,5,4,1,4,5,3,5,3,5,1,0,4,4,2,0
User_90,1,4,5,5,5,3,0,3,5,3,4,1,1,1,4,5,2,1,3,3,5,2,0,4,4,3,1,1,2,0,1,1,3,5,1,4,1,1,0,4,2,4,2,0,0,5,5,3,0,1
User_91,4,2,4,4,4,4,4,5,0,5,4,4,2,4,4,5,4,1,5,1,1,4,0,1,3,1,2,0,5,2,2,1,2,2,0,1,0,4,1,2,5,1,5,1,4,0,1,5,1,5
User_92,3,1,0,3,5,2,2,1,0,1,2,1,1,2,2,3,3,0,5,5,0,2,0,0,3,2,3,1,2,4,0,0,2,4,5,2,0,5,0,2,5,1,3,2,1,4,0,0,2,4
User_93,2,3,2,0,0,5,1,3,5,5,5,1,3,0,5,5,5,2,0,1,1,2,5,4,0,1,4,4,0,1,4,1,4,0,0,1,0,3,0,2,0,1,5,4,3,1,1,4,4,2
User_94,1,3,2,2,3,4,4,1,2,3,3,3,2,0,0,1,5,2,5,2,0,4,0,5,2,5,3,2,1,0,1,0,0,1,1,3,5,1,4,2,5,3,0,5,4,1,1,4,2,4
User_95,0,5,4,5,3,4,4,0,0,2,0,0,0,4,4,0,1,0,0,5,2,0,0,5,2,0,0,3,5,2,2,3,2,5,1,4,4,5,2,4,0,0,1,3,5,4,1,4,0,1
User_96,5,1,3,0,1,0,0,2,2,3,0,2,5,5,4,0,1,0,1,3,2,4,2,5,1,5,3,1,5,3,5,3,5,4,4,2,4,1,1,5,5,3,2,5,2,2,3,4,0,1
User_97,3,1,4,4,3,3,0,2,0,3,0,5,5,5,1,4,4,0,5,2,3,4,0,3,4,5,0,3,2,0,0,0,4,2,5,2,5,0,5,0,2,3,0,2,4,2,3,0,5,2
User_98,1,0,0,1,0,4,4,3,5,3,2,2,4,0,5,5,1,5,4,3,3,3,5,5,1,3,3,2,0,5,0,1,3,2,0,1,2,3,1,5,2,0,4,0,4,1,2,2,2,3
User_99,0,4,3,1,1,5,5,3,5,4,1,5,5,5,0,1,4,5,0,3,4,0,5,0,0,4,5,2,1,2,5,1,4,1,5,4,0,3,2,2,4,1,1,3,0,1,1,5,0,3
User_100,1,4,0,1,3,2,4,5,4,4,4,2,2,2,2,3,1,2,2,3,0,3,0,4,3,4,0,3,0,0,4,0,1,2,3,4,2,4,1,5,2,3,5,0,5,0,2,4,3,0
